model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6570048309178744,0.6458192012408847,0.658125369684728,0.48308964660820874,0.4145231246948242
Logistic Regression (L1),0.6845039018952063,0.6697409452086154,0.6849382030559568,0.5223435908963491,88.39994597434998
Logistic Regression (ElasticNet),0.6863619472315124,0.6720686919497701,0.6871772517621759,0.5253056439250974,106.24637198448181
SVC (RBF),0.6596060943887031,0.6437028165037407,0.657528872686543,0.48490977149737047,11.015252828598022
SVC (Linear),0.6811594202898551,0.6639320025837553,0.6800746068796684,0.5147720909175455,7.002749919891357
Decision Tree,0.6837606837606838,0.6717527426806443,0.6845775080643791,0.5213515243561241,0.5986528396606445
Random Forest,0.7246376811594203,0.7043990552564781,0.7196131312034418,0.5804184755205699,6.222991943359375
