model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.7521367521367521,0.7456643479483139,0.7537297494530982,0.6265436345017921,0.26299214363098145
Logistic Regression (L1),0.73950204384987,0.7322028019777584,0.7418461792362137,0.6078439943530992,55.20456600189209
Logistic Regression (ElasticNet),0.7476774433296173,0.7409955494217377,0.7500602121812051,0.6207925661487718,59.21040105819702
SVC (RBF),0.7008547008547008,0.6879110044004225,0.7006938122112327,0.5453995636257494,8.104308128356934
SVC (Linear),0.7800074321813453,0.7740106980226521,0.7819294110100515,0.6688332308770254,5.687924146652222
Decision Tree,0.875139353400223,0.8716683006035798,0.8762939725509322,0.8119977547202876,0.3395416736602783
Random Forest,0.8755109624674842,0.8706624018675653,0.8762494963463914,0.8120510191543636,5.223442077636719
