model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5510962467484206,0.5396004651798868,0.551449817716764,0.32175934058566186,0.1665499210357666
Logistic Regression (L1),0.5540691192865106,0.5456218259634991,0.5566087326183825,0.32952594642605043,0.5693120956420898
Logistic Regression (ElasticNet),0.5533259011519881,0.5452554366326602,0.5559074223461842,0.32860282709910094,0.7317638397216797
SVC (RBF),0.6387959866220736,0.6250384768928818,0.6349781617994299,0.4536600214008558,2.0866611003875732
SVC (Linear),0.5410628019323671,0.5304261076348652,0.5389460578921815,0.3094526111762994,0.8956327438354492
Decision Tree,0.7684875510962468,0.76390795540503,0.7695710708028749,0.6546454758999232,0.05204606056213379
Random Forest,0.770345596432553,0.7623098101885252,0.7700817989816318,0.6555754224995353,2.8295130729675293
