model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6202155332590115,0.6087259096162585,0.622356627872963,0.4269248503006744,0.17813968658447266
Logistic Regression (L1),0.6031215161649944,0.5868862619750747,0.6040266587067334,0.39891497536918535,36.33575487136841
Logistic Regression (ElasticNet),0.6127833519137867,0.5973234905339105,0.6136892586330636,0.4133103003744931,38.44050693511963
SVC (RBF),0.5366034931252323,0.5016853040010946,0.503622024314513,0.28726127438849974,5.561533212661743
SVC (Linear),0.6269044964697139,0.614053479844661,0.628691727447742,0.435368922917212,8.838099002838135
Decision Tree,0.6937941285767373,0.6807657860799199,0.694272054449194,0.5352890813295489,0.28667116165161133
Random Forest,0.7331846897064288,0.7117073791384793,0.7278312593910439,0.5925066012243472,4.283082008361816
