model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5209959123002601,0.5004637396232267,0.5113436653085682,0.27053078174695355,0.07115411758422852
Logistic Regression (L1),0.5265700483091788,0.5101832146706863,0.5230220661775101,0.28136377592207235,0.15966796875
Logistic Regression (ElasticNet),0.5280564845782237,0.5118227320509865,0.5247990449457284,0.28369698148427763,0.23191404342651367
SVC (RBF),0.5715347454477889,0.5605526363990988,0.5725076258789521,0.35142635234189934,1.5607609748840332
SVC (Linear),0.5247120029728726,0.5034201412741105,0.5131443991776681,0.27654117817588214,0.7643060684204102
Decision Tree,0.5689334819769603,0.559911803909562,0.5728961855305295,0.35376110561706064,0.03721785545349121
Random Forest,0.5863991081382386,0.5710791639977076,0.5865674362828653,0.37375203944188246,2.5339221954345703
