model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6235600148643627,0.610629942686144,0.6246342430226894,0.43145434230657814,0.17524194717407227
Logistic Regression (L1),0.6246748420661464,0.6115541571038889,0.6258807740432629,0.4329660289619412,27.83848786354065
Logistic Regression (ElasticNet),0.6239316239316239,0.6109269592251534,0.625465228237048,0.4319705960538506,12.534125089645386
SVC (RBF),0.654775176514307,0.6385292126292009,0.6538326439907696,0.47624356237566445,4.293811798095703
SVC (Linear),0.6287625418060201,0.6147694467585091,0.6294824567272649,0.4390448145119853,2.882935047149658
Decision Tree,0.6845039018952063,0.6722887922851642,0.684350031614714,0.5231413024369196,0.2548801898956299
Random Forest,0.7105165366034931,0.6895477455199467,0.7057995961588193,0.558272751286081,4.270707368850708
