model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5440356744704571,0.5231259236608038,0.5396603207373761,0.3057730101940271,0.22060322761535645
Logistic Regression (L1),0.5399479747305834,0.5226579237637519,0.5402105281137732,0.3025701334161449,5.832263946533203
Logistic Regression (ElasticNet),0.5392047565960609,0.5217920272042642,0.5391522929507753,0.301241463390738,6.049350023269653
SVC (RBF),0.5392047565960609,0.5200902265672017,0.5276376862826077,0.30384535316367084,2.241239070892334
SVC (Linear),0.5522110739502044,0.5338023144135585,0.5513475553875046,0.3200753672823889,3.8945260047912598
Decision Tree,0.6610925306577481,0.6491748226385659,0.6631136392553659,0.4882023092687644,0.07239127159118652
Random Forest,0.7027127461910071,0.6809868124780026,0.6975449892371873,0.5462126491254075,2.9669599533081055
