model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6506874767744333,0.6414887249256193,0.6523909878898687,0.4745570127714561,0.42113614082336426
Logistic Regression (L1),0.6636937941285768,0.6506423005060821,0.6645380321389788,0.4915535143847643,92.52935028076172
Logistic Regression (ElasticNet),0.6770717205499814,0.6648122651604759,0.6782182157093453,0.5120354558792755,113.5280990600586
SVC (RBF),0.6610925306577481,0.6445007973023927,0.6584886657396213,0.48691839525999375,11.533331871032715
SVC (Linear),0.6826458565589001,0.6672557205918116,0.680664019337735,0.5170821865275098,7.419830083847046
Decision Tree,0.6737272389446303,0.6595901417683834,0.6738201315262033,0.5060479343706925,0.6027579307556152
Random Forest,0.7231512448903753,0.7028136850795798,0.718501491927194,0.5783870370216884,6.471599817276001
