model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6343366778149386,0.6090141251869697,0.6239215925936199,0.4416053776272533,0.2770578861236572
Logistic Regression (L1),0.6365663322185061,0.6099226505031203,0.6253457415882472,0.4439686550673506,55.53438997268677
Logistic Regression (ElasticNet),0.6373095503530286,0.6108266755978812,0.6262735016780311,0.445175530606114,58.02961206436157
SVC (RBF),0.6261612783351914,0.5881928207912279,0.5998866108107713,0.42793896261744163,7.822386026382446
SVC (Linear),0.6313638052768488,0.6073258878509907,0.6229466868278152,0.437738476110772,5.545469045639038
Decision Tree,0.6596060943887031,0.6405250579245948,0.6561228331318663,0.4821832979725502,0.3205249309539795
Random Forest,0.6908212560386473,0.6669589709824222,0.6821430502779836,0.5299348544715873,5.102521657943726
k-Nearest Neighbors,0.6391675956893348,0.6156691046148678,0.631019931848445,0.4499396320044319,5.701067924499512
Gradient Boosting,0.6358231140839836,0.5993141080560628,0.6133815162385883,0.4424039845951428,15.594877004623413
AdaBoost,0.5856558900037161,0.5441691795536722,0.5518440030731958,0.36353745976009394,12.004584312438965
MLP Classifier,0.6577480490523969,0.6300145528486939,0.6460118703122428,0.4778370804014216,2.518239974975586
Gaussian Naive Bayes,0.4808621330360461,0.4663980861304291,0.45778523404423804,0.2335199110074904,0.16953492164611816
Linear Discriminant Analysis,0.6198439241917503,0.604480891252445,0.6191293371232036,0.4240422353139791,3.657559871673584
XGBoost,0.6960237829803048,0.674259087501345,0.6893277266239589,0.5386250188867585,244.70862793922424
