model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6231884057971014,0.6093018743535797,0.620714856750504,0.4288824490096398,0.18966102600097656
Logistic Regression (L1),0.6302489780750651,0.6192336384313833,0.6297661683946391,0.44159927471665683,3.5224578380584717
Logistic Regression (ElasticNet),0.6269044964697139,0.6163687194394735,0.6264551243551412,0.436929861486887,3.1102170944213867
SVC (RBF),0.7049424005945745,0.6965518351631079,0.7054440316820919,0.5535889007478941,2.7674720287323
SVC (Linear),0.643998513563731,0.6337326569610441,0.6444527029499945,0.4609617030292646,1.6168861389160156
Decision Tree,0.8870308435525827,0.8867294488216341,0.888197406680907,0.8309014053357028,0.17690610885620117
Random Forest,0.8881456707543665,0.8844770321246926,0.8885513547053786,0.8310273326453711,3.3986971378326416
