model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6506874767744333,0.6414887249256193,0.6523909878898687,0.4745570127714561,0.4476616382598877
Logistic Regression (L1),0.6636937941285768,0.6506423005060821,0.6645380321389788,0.4915535143847643,90.73155570030212
Logistic Regression (ElasticNet),0.6770717205499814,0.6648122651604759,0.6782182157093453,0.5120354558792755,110.09095907211304
SVC (RBF),0.6610925306577481,0.6445007973023927,0.6584886657396213,0.48691839525999375,11.488730192184448
SVC (Linear),0.6826458565589001,0.6672557205918116,0.680664019337735,0.5170821865275098,7.329951047897339
Decision Tree,0.6737272389446303,0.6595901417683834,0.6738201315262033,0.5060479343706925,0.5724549293518066
Random Forest,0.7231512448903753,0.7028136850795798,0.718501491927194,0.5783870370216884,6.224676132202148
