model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.5172798216276477,0.50332792817235,0.5163549429600827,0.2702038420258129,0.175095796585083
Logistic Regression (L1),0.5217391304347826,0.5096527262605217,0.5232499732335492,0.27901961720504836,0.5458581447601318
Logistic Regression (ElasticNet),0.5180230397621702,0.5060614493724843,0.5197942982466645,0.27378153275390354,0.7511491775512695
SVC (RBF),0.5871423262727611,0.570040434845735,0.581996689736799,0.3744866487642143,2.2505059242248535
SVC (Linear),0.5202526941657376,0.5069230461487084,0.5174940576730552,0.27591863105429737,1.1232986450195312
Decision Tree,0.5986622073578596,0.5877684450959557,0.5999106452779528,0.3967294725404672,0.048644065856933594
Random Forest,0.6246748420661464,0.6074829696686118,0.6211563745938395,0.43121204741413355,2.6658051013946533
