model,accuracy,balanced_accuracy,f1_weighted,mcc,time_s
Ridge Classifier,0.6090672612411743,0.5910501260252791,0.6081386658016575,0.40649531982843773,0.17093300819396973
Logistic Regression (L1),0.6164994425863991,0.6018878357420041,0.61645716510002,0.4199201109380943,18.977312803268433
Logistic Regression (ElasticNet),0.6187290969899666,0.6045236539557403,0.6187937684763453,0.4231872007612685,9.498278856277466
SVC (RBF),0.6272761055369751,0.6103273649527793,0.6265931695224926,0.43443994423560367,3.108753204345703
SVC (Linear),0.633221850613155,0.616870543270311,0.6313627540161927,0.4441672307962266,2.2732980251312256
Decision Tree,0.6603493125232256,0.6496610248229475,0.6624150890145921,0.4880553635951895,0.22808504104614258
Random Forest,0.7045707915273133,0.6838201576468218,0.6997629319729034,0.5502963973132748,3.8090062141418457
